Date,País,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2022-05-14,860,67,23,25,3,6,4,2,9,300,3,15,1,10,23,47,9,3,19,45,20,15,16,20,18,31,13,4,24,1,22,60,2
2022-05-15,1185,90,32,59,9,9,13,1,12,377,3,33,4,13,50,71,16,3,13,44,21,20,21,26,25,55,6,11,24,4,45,68,7
2022-05-16,1341,83,44,57,12,12,12,2,15,481,7,27,2,15,40,83,9,14,8,65,21,27,13,28,31,45,7,12,25,5,52,86,1
2022-05-17,1318,85,32,62,7,15,13,2,14,438,7,31,4,14,60,95,10,2,19,78,22,15,21,29,28,55,7,18,20,3,31,78,3
2022-05-18,1212,63,45,58,7,14,4,2,20,418,4,23,2,13,47,91,11,4,19,69,32,14,17,19,21,55,6,5,20,2,36,67,4
2022-05-19,1167,63,35,41,8,9,9,14,17,391,2,27,4,18,50,64,6,13,10,57,29,21,14,30,22,64,9,11,24,2,44,49,10
2022-05-20,1477,60,32,63,8,13,11,4,27,500,11,48,2,17,55,75,17,24,18,92,48,20,20,35,23,111,12,14,24,2,44,43,4
2022-05-21,1477,79,36,84,12,14,11,4,15,461,6,35,4,21,71,74,8,22,17,100,43,25,19,38,17,89,15,12,19,4,32,86,4
2022-05-22,1615,79,40,84,17,10,21,3,18,499,4,45,6,16,66,89,12,9,18,129,36,39,26,55,26,104,14,3,20,4,40,77,6
2022-05-23,2252,92,67,102,10,14,23,2,30,794,8,54,5,26,95,160,12,34,27,168,35,28,20,38,37,156,21,13,30,7,51,87,6
2022-05-24,1983,72,63,79,10,12,32,1,24,673,9,67,1,20,96,136,5,15,23,141,39,25,26,47,38,139,12,16,16,8,48,84,6
2022-05-25,2093,46,58,77,8,18,21,1,22,798,10,59,3,21,67,145,10,7,22,159,45,26,24,48,26,179,14,8,23,11,48,76,13
2022-05-26,1804,63,49,94,10,13,15,3,16,651,6,48,1,17,59,105,7,13,25,145,39,17,18,45,39,148,8,6,25,4,44,61,10
2022-05-27,1898,49,39,107,12,22,26,4,25,618,6,61,4,32,81,107,10,4,23,146,41,25,16,57,32,191,13,17,18,4,35,58,15
2022-05-28,2091,28,37,79,13,22,17,3,25,666,5,46,4,21,104,145,12,11,28,163,54,34,17,39,47,246,29,11,35,6,55,86,3
2022-05-29,2735,71,81,140,17,32,45,3,21,835,8,67,1,38,127,192,14,21,27,206,43,36,36,64,31,266,28,20,53,6,66,125,15
2022-05-30,3654,72,74,168,21,28,36,6,39,1234,22,99,3,31,146,250,18,21,36,276,49,54,45,78,57,424,43,24,56,15,76,137,16
2022-05-31,3164,45,92,150,23,23,34,0,27,1084,20,107,6,33,129,222,10,10,34,233,43,28,39,66,49,349,43,7,44,8,76,113,17
2022-06-01,3594,36,97,197,24,39,32,9,30,1184,20,84,7,53,119,312,11,27,53,248,55,30,31,71,51,414,40,11,64,11,97,116,21
2022-06-02,2956,36,86,128,20,31,26,11,36,913,25,80,10,35,101,218,8,11,27,202,69,47,29,89,44,381,49,20,39,7,57,97,24
2022-06-03,3396,48,64,147,21,24,41,13,36,1087,21,99,8,50,123,211,19,20,32,212,106,44,42,74,59,416,56,23,57,7,88,120,28
2022-06-04,3761,63,84,119,33,41,37,16,45,1203,24,64,9,60,120,261,20,14,54,232,95,40,44,113,62,428,72,29,72,5,94,193,15
2022-06-05,4813,89,122,209,41,53,30,19,58,1501,20,139,6,65,158,347,29,27,54,278,171,74,54,160,72,454,80,51,84,12,129,195,32
2022-06-06,6697,80,157,248,43,87,64,28,74,2163,39,129,11,93,235,566,31,23,69,511,222,95,85,199,111,620,94,48,118,15,174,239,26
2022-06-07,5883,78,149,224,38,63,50,21,51,1915,34,173,11,90,186,479,26,12,72,409,155,83,74,211,111,534,81,36,98,9,137,256,17
2022-06-08,5309,56,123,185,39,48,46,8,55,1832,21,110,16,71,189,438,27,12,52,377,140,79,67,184,103,447,80,26,83,17,143,228,7
2022-06-09,5057,47,117,237,42,52,53,33,46,1576,35,111,12,74,169,429,20,21,46,309,149,80,71,233,104,417,98,49,85,22,119,187,14
2022-06-10,6292,62,120,239,48,74,41,11,78,2134,40,179,26,67,180,543,32,20,81,397,173,96,92,198,162,519,126,65,134,15,136,171,33
2022-06-11,5949,72,101,209,53,80,58,6,70,1816,32,145,23,86,167,539,26,21,60,328,142,119,73,365,130,447,113,61,112,14,178,279,24
2022-06-12,7443,107,137,238,63,101,72,28,102,2277,69,251,21,133,222,683,31,27,83,468,190,118,95,290,161,479,154,77,136,11,214,374,31
2022-06-13,9951,111,198,290,76,158,81,14,172,3259,88,229,38,155,296,905,49,58,100,641,189,178,146,390,278,666,205,89,180,24,224,435,29
2022-06-14,9226,99,208,340,74,144,63,8,140,3007,72,231,27,138,253,844,38,34,86,629,180,118,130,350,254,588,181,110,169,26,259,386,40
2022-06-15,9050,73,178,213,75,143,52,6,164,3038,93,195,41,135,244,873,45,51,78,655,210,132,114,309,260,597,133,114,190,18,254,319,48
2022-06-16,8248,76,159,256,59,174,44,14,128,2762,78,158,37,106,246,762,38,54,70,567,161,121,111,330,214,489,162,101,162,24,259,259,67
2022-06-17,9343,100,160,177,72,162,90,6,158,3169,58,299,49,107,209,864,36,51,92,540,174,157,143,430,275,582,182,117,212,26,274,325,47
2022-06-18,10701,74,207,186,70,216,99,16,168,3327,94,259,82,174,291,1029,66,37,121,554,247,202,170,467,302,625,278,169,297,23,345,431,75
2022-06-19,13469,118,273,400,97,265,118,24,223,4098,94,321,92,203,366,1443,79,80,119,797,271,250,223,630,312,688,368,181,311,34,407,516,68
2022-06-20,19409,176,382,466,137,427,152,22,323,6233,230,388,106,287,497,2076,133,111,156,1218,382,371,329,652,546,921,465,366,496,62,575,628,96
2022-06-21,16580,148,353,376,107,376,126,20,211,5405,169,379,65,315,393,1824,80,93,145,1009,311,342,319,590,432,648,361,264,378,50,607,609,75
2022-06-22,15992,106,315,297,120,302,111,21,201,5306,179,368,94,251,374,1829,90,75,116,1097,315,377,256,564,405,716,315,240,380,54,480,564,74
2022-06-23,14519,103,301,252,96,280,125,35,258,4762,165,386,100,181,395,1594,118,117,115,849,246,301,254,536,382,549,281,247,374,79,509,446,83
2022-06-24,15716,116,243,264,140,282,144,27,247,5199,134,360,140,214,368,1613,103,113,123,769,267,400,307,590,528,692,367,345,476,46,642,392,65
2022-06-25,18019,157,299,314,149,377,169,43,328,5497,129,555,181,277,473,1863,140,107,174,874,339,368,328,536,551,834,426,460,504,71,800,553,143
2022-06-26,22771,238,379,393,153,497,196,64,390,6693,168,704,165,397,627,2704,185,135,249,1407,446,481,448,673,627,694,574,424,582,93,1105,772,108
2022-06-27,27593,226,497,378,178,590,207,68,471,8218,257,878,204,454,761,3221,238,191,241,1911,454,560,618,732,887,1134,609,570,690,149,1113,785,103
2022-06-28,25570,224,524,362,185,667,218,55,436,7486,210,1102,238,459,652,2908,198,250,262,1659,364,552,569,513,730,1024,528,525,648,136,1028,754,104
2022-06-29,22253,170,460,332,131,523,187,44,315,6655,181,719,232,357,549,2639,184,255,227,1427,375,436,510,544,622,828,458,480,543,128,1033,616,93
2022-06-30,20458,144,382,316,155,542,167,59,354,6169,181,648,246,338,521,2332,206,292,219,1128,282,421,457,478,657,827,398,438,523,106,903,473,96
2022-07-01,24144,159,351,422,192,527,290,72,429,7040,194,984,459,396,486,2264,228,302,317,1467,375,628,577,493,796,993,593,579,725,127,998,506,175
2022-07-02,23054,203,431,314,213,534,244,105,437,6252,136,1039,356,476,582,2507,207,239,328,997,342,622,593,515,765,796,597,649,594,140,1059,616,166
2022-07-03,27792,256,534,365,221,676,370,115,519,7419,177,1200,361,520,621,2930,302,278,391,1742,536,770,784,415,944,890,727,814,656,216,1189,718,136
2022-07-04,35131,326,836,375,256,934,409,108,687,9395,267,1632,396,620,873,3766,363,396,395,2289,579,847,980,454,1258,1323,779,941,822,308,1452,903,162
2022-07-05,32305,269,845,309,261,909,413,96,598,8767,252,1361,454,501,755,3462,344,286,368,2236,563,824,1013,385,1069,1230,719,818,683,229,1375,728,183
2022-07-06,27779,286,653,291,233,770,304,109,516,7309,273,1241,440,529,599,2760,288,254,256,1993,480,761,914,341,966,1035,629,729,541,257,1196,646,180
2022-07-07,25042,221,523,295,237,728,249,82,456,6590,217,1313,424,443,571,2375,303,308,236,1614,412,657,846,278,1022,934,544,686,493,243,1078,505,159
2022-07-08,23599,190,431,225,198,622,276,99,488,6114,176,1216,499,467,504,1959,273,523,262,1153,415,848,766,266,1039,995,590,707,491,240,913,393,261
2022-07-09,25784,314,537,263,241,600,333,128,552,5945,192,1718,552,454,622,2286,337,382,376,1126,604,828,829,221,1144,827,685,949,600,291,1123,488,237
2022-07-10,33467,368,711,423,272,1030,424,148,792,7722,236,2274,563,585,735,3202,563,500,392,2082,694,1032,1070,347,1176,1014,844,1019,750,319,1321,582,277
2022-07-11,36259,448,914,368,327,1052,425,150,858,8666,271,2162,564,703,802,3776,484,385,458,2347,657,1100,1243,299,1428,1213,932,1016,723,355,1294,620,219
2022-07-12,30341,362,732,303,224,895,347,120,718,7014,262,2243,442,538,676,2994,405,372,330,2004,622,1000,1093,290,1101,1006,740,757,627,401,984,509,230
2022-07-13,26939,345,701,228,223,820,305,104,605,6090,243,2125,354,500,545,2566,390,523,265,1707,598,891,1013,260,1026,992,546,688,515,346,781,403,241
2022-07-14,21639,288,490,202,167,670,236,86,513,4936,172,1354,357,439,412,1906,299,356,241,1458,448,758,846,196,934,794,470,563,389,377,743,329,210
2022-07-15,21425,266,385,242,220,673,266,104,619,4947,186,1313,541,362,435,1653,310,396,227,1140,484,779,689,159,941,823,552,548,463,242,823,352,285
2022-07-16,20894,296,414,235,187,681,291,111,593,4362,139,1435,402,398,432,1761,321,287,230,1121,456,852,725,133,1111,881,506,592,434,284,663,318,243
2022-07-17,25014,407,592,316,198,880,281,152,777,4997,211,1755,434,426,640,2327,417,199,268,1653,491,984,875,172,1066,722,660,640,588,371,773,398,344
2022-07-18,30588,450,686,350,221,1098,335,153,973,6295,260,2270,541,562,724,2997,551,542,367,1933,611,1066,974,140,1408,999,660,688,667,495,874,390,308
2022-07-19,25327,372,478,351,149,1023,244,109,834,5499,281,2145,363,476,583,2334,405,489,272,1603,481,946,761,129,1028,789,522,531,532,358,639,310,291
2022-07-20,21902,346,347,271,134,864,210,85,665,4577,250,1875,323,377,551,2066,407,516,266,1378,424,847,638,107,884,786,341,458,530,312,522,298,247
2022-07-21,15628,204,248,174,77,635,183,73,486,3310,168,1215,282,302,380,1327,307,385,193,992,289,683,474,82,738,539,294,230,329,245,430,183,171
2022-07-22,14984,187,226,184,105,540,168,85,467,3184,159,1339,322,240,364,1147,256,374,144,675,362,672,406,84,758,598,252,317,289,266,423,170,221
2022-07-23,15148,291,249,190,119,545,202,88,470,2894,168,1701,260,294,427,1158,242,212,159,751,337,627,415,62,673,523,278,326,345,265,459,174,244
2022-07-24,16918,320,330,248,103,661,182,97,478,3105,175,1921,256,404,463,1369,348,137,182,1062,423,723,507,86,735,453,333,272,351,286,461,217,230
2022-07-25,19830,412,369,249,109,858,208,92,760,3842,231,1876,304,408,514,1588,311,288,209,1127,462,766,579,100,989,660,435,337,446,306,448,234,313
2022-07-26,14498,280,270,157,65,627,147,60,574,2864,161,1088,238,296,365,1198,257,198,145,993,371,620,385,46,806,470,222,240,334,290,359,179,193
2022-07-27,12444,226,218,170,61,502,111,43,503,2470,176,841,204,248,353,966,238,225,129,859,317,518,339,78,588,440,178,184,282,282,341,140,214
2022-07-28,9762,184,151,146,44,389,66,34,378,1864,111,771,166,237,273,763,175,222,101,635,308,385,256,61,405,398,182,122,216,220,224,94,181
2022-07-29,8623,127,121,135,46,356,78,29,331,1777,90,692,174,177,264,592,166,178,103,460,224,358,232,37,375,421,174,136,186,129,233,91,131
2022-07-30,8458,153,96,136,53,316,81,42,334,1687,93,574,181,232,280,613,160,122,116,378,256,408,215,45,378,393,189,111,194,174,199,100,149
2022-07-31,9848,226,141,162,49,383,100,50,437,1702,115,728,168,260,301,925,240,101,93,537,272,469,255,46,383,320,231,126,244,201,295,108,180
2022-08-01,12962,248,178,216,59,498,140,51,685,2517,138,854,197,307,389,1123,279,140,135,792,350,527,332,59,546,449,300,157,351,226,322,156,241
2022-08-02,8814,192,138,147,36,352,86,21,386,1668,115,500,104,217,305,744,174,97,118,516,225,434,255,50,413,344,182,142,225,176,206,105,141
2022-08-03,7371,136,101,112,25,267,61,17,328,1475,106,423,82,155,226,702,131,135,69,486,209,311,223,38,335,265,178,68,182,188,139,74,124
